Index,Time,sensor0_raw_v,sensor0_filtered_v,sensor0_delta_v,sensor0_threshold_v,sensor0_hit_count
0,0.000000,0.531062245,0.573871076,0.0148085356,0.0325358547,35
1,0.000986,0.81472528,0.574860334,0.0157977939,0.0325433463,35
2,0.001986,0.81472528,0.576148391,0.0170858502,0.0325524472,35
3,0.002988,0.681758225,0.577215254,0.0181527138,0.0325629711,35
4,0.003986,0.768791199,0.577965736,0.0188485384,0.0325744636,35
5,0.004989,1.13787544,0.578940988,0.0198237896,0.0325873867,35
6,0.005982,0.493992656,0.580088794,0.0209715962,0.0326020755,35
7,0.006984,0.218388274,0.581373572,0.0222563744,0.0326020755,35
8,0.007983,0.696263731,0.582332373,0.0232151747,0.0326020755,35
9,0.009025,0.130549446,0.583280981,0.0241637826,0.0326020755,35
10,0.009988,0.130549446,0.583521962,0.0244047642,0.0326020755,35
11,0.010987,0.352161169,0.582864702,0.0237475038,0.0326020755,35
12,0.011981,0.837289393,0.582324684,0.0232074857,0.0326020755,35
13,0.012988,0.531062245,0.581500411,0.022383213,0.0326020755,35
14,0.013982,0.806666672,0.58088845,0.0217712522,0.0326020755,35
15,0.014988,0.640659332,0.579792559,0.0206753612,0.0326162875,35
16,0.015984,0.424688637,0.578130424,0.019013226,0.0326279923,35
17,0.016982,0.424688637,0.576320887,0.0172036886,0.0326372087,35
18,0.017984,0.295750916,0.574726343,0.0156091452,0.0326444432,35
19,0.018981,0.286080569,0.57371825,0.0146010518,0.0326505229,35
20,0.019998,1.0637362,0.572773933,0.0136567354,0.0326555893,35
21,0.020987,1.04842484,0.57180649,0.0126892924,0.0326596908,35
22,0.021985,1.05567765,0.570602536,0.0114853382,0.0326626897,35
23,0.022986,0.829230785,0.569502115,0.0103849173,0.0326647758,35
24,0.023984,0.315897435,0.56852752,0.00941032171,0.0326661319,35
25,0.024986,0.315897435,0.567297339,0.00818014145,0.032666672,35
26,0.025987,1.12981689,0.565829873,0.00671267509,0.0326663814,35
27,0.026988,0.0419047624,0.564257443,0.00514024496,0.0326653905,35
28,0.027986,0.0830036625,0.562616706,0.0034995079,0.0326638594,35
29,0.028988,0.00967032928,0.560913503,0.00179630518,0.0326619856,35
30,0.030026,0.44886446,0.558972955,-0.00014424324,0.0326599926,35
31,0.030982,0.741391957,0.557032824,-0.00208437443,0.0326581635,35
32,0.031988,0.741391957,0.554854333,-0.00426286459,0.0326568596,35
33,0.032982,0.595531106,0.552921772,-0.00619542599,0.0326563194,35
34,0.033989,0.419853479,0.550810277,-0.00830692053,0.0326569378,35
35,0.034982,0.702710629,0.549568951,-0.00954824686,0.0326583907,35
36,0.035983,0.771208763,0.549098074,-0.0101519227,0.032660298,35
37,0.036985,1.29663002,0.548918128,-0.0103318691,0.032662347,35
38,0.037982,0.918681324,0.549116671,-0.0101333261,0.0326642394,35
39,0.038984,0.186959699,0.549174726,-0.0100752711,0.0326660834,35
40,0.039982,0.186959699,0.549418688,-0.00983130932,0.0326677486,35
41,0.040998,1.26520145,0.54977268,-0.00947731733,0.0326691531,35
42,0.041984,0.657582402,0.550243437,-0.00900655985,0.0326702297,35
43,0.042982,0.524615347,0.550638795,-0.00861120224,0.0326710381,35
44,0.043984,0.290109873,0.550427079,-0.00882291794,0.0326719917,35
45,0.044982,1.18139195,0.550141454,-0.0091085434,0.0326731354,35
46,0.045986,1.15238094,0.549928784,-0.00932121277,0.0326744281,35
47,0.046984,1.15238094,0.549764991,-0.00948500633,0.0326758362,35
48,0.047986,0.817142844,0.549632311,-0.00961768627,0.0326773413,35
49,0.048984,0.171648353,0.549712777,-0.00953722,0.0326787867,35
50,0.049987,0.0136996331,0.549679756,-0.00957024097,0.0326802582,35
51,0.050985,0.176483512,0.549624443,-0.00962555408,0.0326817669,35
52,0.051999,0.321538448,0.549757898,-0.00949209929,0.0326831788,35
53,0.053001,0.138608053,0.549960554,-0.00928944349,0.0326844491,35
54,0.053987,0.667252719,0.55047226,-0.00877773762,0.0326853655,35
55,0.054986,0.667252719,0.55100745,-0.00824254751,0.0326859392,35
56,0.055984,0.502051294,0.551516056,-0.00773394108,0.0326862074,35
57,0.056982,0.485934049,0.551917076,-0.00733292103,0.0326862447,35
58,0.057985,0.39809522,0.552109838,-0.00714015961,0.0326861776,35
59,0.058984,0.0435164832,0.552656829,-0.00659316778,0.0326858237,35
60,0.059986,1.0057143,0.553100705,-0.00614929199,0.0326852612,35
61,0.060985,1.15802193,0.553636253,-0.00561374426,0.0326844566,35
62,0.061987,1.15802193,0.553996205,-0.00525379181,0.0326835066,35
63,0.062985,0.978314996,0.554222167,-0.0050278306,0.0326824673,35
64,0.064000,0.930769205,0.554672062,-0.00457793474,0.032681264,35
65,0.064986,1.04439557,0.555071175,-0.00417882204,0.0326799303,35
66,0.065988,0.00805860758,0.555406511,-0.00384348631,0.0326784961,35
67,0.066983,0.00967032928,0.555712819,-0.00353717804,0.0326769724,35
68,0.067981,0.00402930379,0.556058705,-0.00315225124,0.0326753519,35
69,0.068984,0.00161172159,0.556363821,-0.00284713507,0.0326736681,35
70,0.069982,0.00161172159,0.556935668,-0.00227528811,0.0326718651,35
71,0.070984,0.353772879,0.557388425,-0.00182253122,0.0326699987,35
72,0.071983,0.371501833,0.557804048,-0.00140690804,0.0326680802,35
73,0.072985,0.0942857116,0.558151126,-0.00105983019,0.0326661281,35
74,0.073984,0.492380947,0.558327496,-0.000883460045,0.0326641649,35
75,0.074987,0.296556771,0.558648229,-0.000562727451,0.032662183,35
76,0.075999,0.747838795,0.558897436,-0.000313520432,0.0326601937,35
77,0.076988,0.253040284,0.559079707,-0.000131249428,0.0326582007,35
78,0.077987,0.253040284,0.559245884,3.49283218e-05,0.0326562077,35
79,0.078981,0.622930408,0.559257209,4.62532043e-05,0.0326542147,35
80,0.079987,0.960586071,0.559437156,0.000226199627,0.0326522216,35
81,0.080988,1.12739921,0.559434891,0.00022393465,0.0326502323,35
82,0.081986,0.26593405,0.559636712,0.000425755978,0.0326482467,35
83,0.082987,0.354578763,0.5599401,0.00072914362,0.0326462761,35
84,0.083985,0.175677657,0.559952736,0.000741779804,0.0326443017,35
85,0.084987,0.175677657,0.560050905,0.000839948654,0.0326423384,35
86,0.086018,0.489963353,0.560140193,0.000929236412,0.0326403752,35
87,0.086982,0.442417562,0.560205638,0.000994682312,0.0326384194,35
88,0.087988,0.36586079,0.560223043,0.00101208687,0.0326364674,35
89,0.088982,0.295750916,0.560219228,0.00100827217,0.0326345153,35
90,0.089989,0.441611707,0.560194254,0.000983297825,0.0326325595,35
91,0.090982,0.267545789,0.560196877,0.000985920429,0.0326306038,35
92,0.091988,0.145860806,0.560016036,0.000805079937,0.0326286368,35
93,0.092982,0.145860806,0.559791744,0.000580787659,0.032626655,35
94,0.093988,0.873553097,0.559572041,0.000361084938,0.0326246694,35
95,0.094981,0.312673986,0.559083045,-0.000127911568,0.0326226801,35
96,0.095982,0.338461518,0.558759928,-0.000451028347,0.0326206945,35
97,0.097009,0.305421233,0.558387995,-0.00082296133,0.0326187313,35
98,0.097981,0.845348001,0.558356225,-0.000854730606,0.0326167643,35
99,0.098988,1.19750917,0.558062494,-0.0011484623,0.0326148272,35
100,0.099981,1.19750917,0.557815194,-0.00145047903,0.0326129161,35
101,0.100987,0.594725251,0.557687044,-0.00157862902,0.0326110199,35
102,0.101989,0.539926708,0.557517231,-0.00174844265,0.0326091424,35
103,0.102987,0.515750885,0.557392538,-0.00187313557,0.0326072872,35
104,0.103988,0.453699619,0.557335258,-0.00193041563,0.0326054357,35
105,0.104986,1.0911355,0.557259202,-0.00200647116,0.0326035991,35
106,0.105983,0,0.557168603,-0.00209707022,0.0326017737,35
107,0.106981,0.120073259,0.557092667,-0.00217300653,0.0325999632,35
108,0.107983,0.120073259,0.557128489,-0.00213718414,0.0325981453,35
109,0.109025,0.00886446889,0.557052314,-0.00221335888,0.0325963423,35
110,0.109982,0.562490821,0.556825876,-0.00243979692,0.0325945802,35
111,0.110988,0.456923068,0.55670476,-0.00256091356,0.0325928368,35
112,0.111981,0.668864429,0.556775391,-0.00249028206,0.0325910822,35
113,0.112987,0.315897435,0.556875348,-0.00239032507,0.0325893126,35
114,0.113981,0.958168507,0.55692941,-0.00233626366,0.0325875282,35
115,0.114988,0.958168507,0.556975245,-0.00229042768,0.0325857401,35
116,0.115985,0.747838795,0.556964159,-0.00230151415,0.032583952,35
117,0.116984,0.640659332,0.557161927,-0.00210374594,0.0325821303,35
118,0.117986,1.00007319,0.557649434,-0.00161623955,0.0325802416,35
119,0.118985,0.904981673,0.558142245,-0.00112342834,0.0325783007,35
120,0.119998,1.02908421,0.558400691,-0.000864982605,0.0325763375,35
121,0.120984,0.369890094,0.558570683,-0.000694990158,0.0325743668,35
122,0.121984,0.0902564079,0.558779299,-0.000486373901,0.0325723886,35
123,0.122986,0.0902564079,0.558658302,-0.00060737133,0.0325704142,35
124,0.123985,0.579413891,0.558754921,-0.000510752201,0.0325684398,35
125,0.124987,0.418241739,0.558714628,-0.000551044941,0.0325664617,35
126,0.125989,0.410989016,0.558691561,-0.000574111938,0.0325644873,35
127,0.126983,0.580219746,0.558660209,-0.000605463982,0.0325625129,35
128,0.127982,0.585860789,0.558530629,-0.000735044479,0.032560546,35
129,0.128984,0.965421259,0.558674097,-0.000591576099,0.0325585715,35
130,0.129983,0.965421259,0.559021771,-0.000243902206,0.032556586,35
131,0.130999,0.011282051,0.559485614,0.000219941139,0.0325546004,35
132,0.131986,0.498827845,0.559578359,0.000312685966,0.0325526185,35
133,0.132985,0.637435913,0.559544683,0.000279009342,0.032550633,35
134,0.133987,0.242564097,0.559619665,0.000353991985,0.0325486511,35
135,0.134986,0.68256408,0.559830666,0.000564992428,0.0325466767,35
136,0.135983,0.775238097,0.559900939,0.000635266304,0.032544706,35
137,0.136982,0.628571391,0.559793293,0.000527620316,0.032544706,35
138,0.137984,0.628571391,0.559084475,-0.00018119812,0.032540746,35
139,0.138983,0.635824144,0.558311701,-0.00095397234,0.0325387903,35
140,0.139985,1.26117218,0.558064997,-0.00120067596,0.0325368606,35
141,0.141124,0.944468856,0.557903111,-0.00136256218,0.0325349458,35
142,0.141982,0.908205092,0.557693064,-0.00157260895,0.0325330533,35
143,0.142981,0.105567761,0.557184279,-0.0020813942,0.0325312316,35
144,0.143984,0.875164807,0.556759059,-0.00250661373,0.0325294845,35
145,0.144982,0.875164807,0.556555033,-0.00271064043,0.0325294845,35
146,0.145987,1.07985342,0.556449652,-0.00281602144,0.0325260945,35
147,0.146984,0.693040311,0.556371748,-0.00289392471,0.0325244293,35
148,0.147985,0.867912054,0.55633086,-0.0029348135,0.0325227678,35
149,0.148983,0.109597065,0.556224406,-0.0030412674,0.0325211361,35
150,0.149985,0.5318681,0.555641592,-0.00362408161,0.0325196497,35
151,0.150983,0.675311327,0.554979444,-0.00428622961,0.0325183645,35
152,0.151996,0.589084268,0.554685295,-0.00458037853,0.0325183645,35
153,0.152982,0.589084268,0.554558396,-0.00470727682,0.0325171761,35
154,0.153988,0.38278389,0.554232478,-0.00503319502,0.0325150117,35
155,0.154982,1.03956044,0.553647578,-0.0056180954,0.0325142294,35
156,0.155983,0.701904774,0.553047836,-0.00621783733,0.0325137116,35
157,0.156985,0.637435913,0.552796066,-0.00646960735,0.0325133204,35
158,0.157982,0.987985313,0.55304116,-0.00622451305,0.0325128064,35
159,0.158984,1.11692309,0.553383708,-0.00588196516,0.0325121395,35
160,0.159982,1.11692309,0.553383708,-0.00591647625,0.0325121395,35
161,0.160983,0.253040284,0.553500831,-0.00576484203,0.0325107649,35
162,0.162023,0.212747246,0.553700149,-0.0055655241,0.0325099565,35
163,0.163000,0.0676923096,0.554551899,-0.00471377373,0.0325088166,35
164,0.163986,0.0902564079,0.555454373,-0.00381910801,0.0325073861,35
165,0.164984,0.356190473,0.555922508,-0.00335097313,0.0325058289,35
166,0.165989,0.371501833,0.556316316,-0.00295716524,0.0325041786,35
167,0.166987,0.49802196,0.556757748,-0.00251573324,0.0325041786,35
168,0.167988,0.49802196,0.557267606,-0.00200587511,0.0325024351,35
169,0.169069,0.329597056,0.557585061,-0.00168842077,0.0324987285,35
170,0.170009,0.224029303,0.558030188,-0.00124329329,0.0324968062,35
171,0.170988,0.44886446,0.558454394,-0.000819087029,0.0324948467,35
172,0.172013,0.995238066,0.558854878,-0.00041860342,0.0324928723,35
173,0.173013,0.495604396,0.559130669,-0.000142812729,0.0324908867,35
174,0.174076,0.431135535,0.559491932,0.000218451023,0.0324889049,35
175,0.174981,0.431135535,0.559491932,0.000218451023,0.0324889049,35
176,0.175982,0.850183129,0.561118782,0.0018453002,0.0324869677,35
177,0.176984,0.970256388,0.561565042,0.00229156017,0.0324833319,35
178,0.177982,0.276410252,0.561482906,0.00220942497,0.0324815325,35
179,0.178984,0.901758254,0.561989248,0.00271576643,0.0324798301,35
180,0.179982,0.536703289,0.562246144,0.00297266245,0.0324781835,35
181,0.180984,0.574578762,0.562297344,0.00302386284,0.0324765481,35
182,0.181982,0.513333321,0.562304735,0.00303125381,0.0324765481,35
183,0.182984,0.513333321,0.562304735,0.00303125381,0.0324749164,35
184,0.184024,0.425494492,0.561327815,0.00205433369,0.03247137,35
185,0.184982,0.374725282,0.561096013,0.00182253122,0.0324695148,35
186,0.185985,0.667252719,0.560710073,0.00143659115,0.0324676111,35
187,0.186987,0.732527435,0.560241401,0.000967919827,0.0324656665,35
188,0.187985,0.618095219,0.559742749,0.000469267368,0.0324636921,35
189,0.188988,0.434358954,0.559527576,0.000254094601,0.032461714,35
190,0.189986,0.434358954,0.559527576,-0.000107586384,0.032461714,35
191,0.190989,0.369890094,0.558297992,-0.000975489616,0.0324597321,35
192,0.191987,0.31670329,0.557370722,-0.00190275908,0.0324559435,35
193,0.192981,0.512527466,0.556553543,-0.00271993876,0.0324542485,35
